id;nombre;direccion;telefono;tipo
1;mechanically wing between;hygienic swordfish besides;musty;psst with
2;that far-flung;little whenever;beneath advertisement;unto
3;divert;tomorrow;phew daughter;actually luck
4;furthermore;forenenst hence;watery;difficult
5;astride strident equally;who heroine;hasty save;apt replicate yet
6;against serialize;phooey hence;quintuple;demobilise orderly scowl
7;exactly exalted;conceptualize times;experience;teammate
8;teeming reword;onto;badly;frank frenetically
9;multicolored scarcely culture;imaginative boohoo sans;bah valuable;mash vivid where
10;some;so next;bide common so;deform whether until
